Symbol,Revenue_musd,Gross_Profit_musd,Net_Income_musd,Market_Cap_musd,FCF_musd,Capex_musd,Fiscal_Year_Note,Source_Note
SHW,23574,11516,2569,78020,2654,797.6,FY2025,"gross profit disclosed"
PPG,15875,6608,1576,23450,1163,778,FY2025,"gross profit disclosed"
DIS,94425,35659,12404,183980,10077,8024,FY2025,"gross profit disclosed"
VZ,138191,81426,17174,167940,20126,17011,FY2025,"gross profit disclosed"
YUM,8214,3792,1559,38440,1639,371,FY2025,"gross profit disclosed"
ULTA,12393,5335,1153,23380,1068,434.83,FY2026,"gross profit disclosed"
WMT,713163,177768,21893,850100,14923,26642,FY2026,"gross profit disclosed"
HSY,11693,3923,883.26,34820,1823,454.62,FY2025,"gross profit disclosed"
SLB,35708,6673,3374,83200,4367,2122,FY2025,"gross profit disclosed"
PSX,132376,16283,4394,103530,2729,2233,FY2025,"gross profit disclosed"
V,40000,39106,19853,680000,21577,1482,FY2025,"gross profit disclosed"
USB,26354,,7194,97910,,,FY2025,"bank: no gross profit / capex line item disclosed"
ZTS,9467,6806,2673,70140,2283,621,FY2025,"gross profit disclosed"
WAT,3165,1876,642.63,36960,539.81,112.75,FY2025,"gross profit disclosed"
WM,25204,10192,2708,85320,2816,3227,FY2025,"gross profit disclosed"
GWW,17942,7009,1706,60290,1331,684,FY2025,"gross profit disclosed"
VICI,4006,,2775,27340,1467,,FY2025,"REIT: no gross profit / traditional capex disclosed"
SPG,6365,,4624,77710,2339,,FY2025,"REIT: no gross profit / traditional capex disclosed"
WDC,12919,6311,9286,161230,3511,418,FY2026,"gross profit disclosed; net margin outlier vs history, flagged for winsorization"
UBER,52017,20025,10053,146390,9763,336,FY2025,"gross profit disclosed"
XEL,14669,,2018,47160,-6825,10908,FY2025,"utility: no gross profit disclosed; FCF negative (heavy capex year)"
SO,30179,,4658,100280,-2935,12737,FY2025,"utility: no gross profit disclosed; FCF negative (heavy capex year)"
