ticker,company,sector,revenue_usd,cogs_usd,energy_cost_usd,scope1_tco2e,measured_intensity_tco2e_per_usd_mm,grid_intensity_kgco2e_per_mwh,carbon_intensity_score,energy_mix_score,resource_waste_score,input_efficiency_score,n_indicators_available,environmental_score
A,Agilent Technologies,Health Care,6948000000.0,3305000000.0,,,,178.4824,,82.45614035087719,,27.6595744680851,2,52.56710441480878
AAPL,Apple Inc.,Information Technology,416161000000.0,220960000000.0,,,,178.4824,,49.27536231884058,,35.38461538461538,2,44.31438127090301
ABBV,AbbVie,Health Care,61160000000.0,18204000000.0,,99777.8,1.6314224983649444,213.9618,80.0,57.89473684210527,,65.95744680851064,3,70.26091825307951
ABNB,Airbnb,Consumer Discretionary,12241000000.0,2086000000.0,,,,178.4824,,75.0,,96.875,2,90.31451241950323
ABT,Abbott Laboratories,Health Care,44328000000.0,19319000000.0,,134386.9,3.0316481682006855,213.9618,30.000000000000004,57.89473684210527,,31.914893617021278,3,37.5481522956327
ACGL,Arch Capital Group,Financials,19929000000.0,,,,,,,,,,0,
ACN,Accenture,Information Technology,69672977000.0,47437576000.0,,,,,,,,10.769230769230765,1,10.769230769230765
ADBE,Adobe Inc.,Information Technology,23769000000.0,2551000000.0,,,,178.4824,,49.27536231884058,,96.92307692307692,2,66.29240324892498
ADI,Analog Devices,Information Technology,11019707000.0,4246229000.0,,117771.6,10.687362195746221,373.0301,40.0,2.898550724637683,,60.0,3,28.304347826086957
ADM,Archer Daniels Midland,Consumer Staples,80269000000.0,75236000000.0,,10585367.6,131.87366978534678,213.9618,0.0,61.76470588235294,,3.125,3,9.86133119476437
ADP,Automatic Data Processing,Industrials,20560900000.0,11097300000.0,,,,212.4217,,88.46153846153845,,75.92592592592592,2,79.34669756776836
ADSK,Autodesk,Information Technology,7206000000.0,650000000.0,,,,178.4824,,49.27536231884058,,98.46153846153847,2,66.84185379837554
AEE,Ameren,Utilities,8799000000.0,,,19790344.7,2249.1583929992044,655.0494,27.586206896551722,3.2258064516129004,,,2,18.886063880502142
AEP,American Electric Power,Utilities,21876000000.0,,,48971842.6,2238.6104680928875,482.5511,31.034482758620683,16.129032258064512,,,2,25.711107579850626
AES,AES Corporation,Utilities,12233000000.0,10022000000.0,,15564932.7,1272.372492438486,243.5116,55.172413793103445,67.74193548387098,,0.0,3,52.20383759733036
AFL,Aflac,Financials,17164000000.0,,,,,323.7885,,24.28571428571429,,,1,24.28571428571429
AIG,American International Group,Financials,26775000000.0,,,,,210.982,,60.0,,,1,60.0
AIZ,Assurant,Financials,12814300000.0,,,,,323.7885,,24.28571428571429,,,1,24.28571428571429
AJG,Arthur J. Gallagher & Co.,Financials,13942000000.0,22900000.0,,,,213.9618,,51.42857142857142,,90.0,2,67.95918367346937
AKAM,Akamai Technologies,Information Technology,4208175000.0,1727513000.0,,,,373.0301,,2.898550724637683,,56.92307692307692,2,22.19302436693741
ALB,Albemarle Corporation,Materials,5142733000.0,4474014000.0,,229671.7,44.65946414095385,283.0228,64.70588235294117,70.0,,13.636363636363635,3,50.87089381207028
ALGN,Align Technology,Health Care,4034964000.0,1323951000.0,,,,311.4764,,42.10526315789473,,55.319148936170215,2,49.312837218772266
ALL,Allstate,Financials,67685000000.0,,,,,213.9618,,51.42857142857142,,,1,51.42857142857142
ALLE,Allegion,Industrials,4067300000.0,2229000000.0,,,,,,,,74.07407407407408,1,74.07407407407408
AMAT,Applied Materials,Information Technology,28368000000.0,14560000000.0,,,,178.4824,,49.27536231884058,,38.46153846153846,2,45.41328236980411
AMCR,Amcor,Materials,15009000000.0,12175000000.0,,,,,,,,27.27272727272727,1,27.27272727272727
AMD,Advanced Micro Devices,Information Technology,34639000000.0,17487000000.0,,,,178.4824,,49.27536231884058,,41.53846153846153,2,46.5121834687052
AME,Ametek,Industrials,7401116000.0,4733677000.0,,,,292.9175,,57.692307692307686,,38.888888888888886,2,44.02004635165257
AMGN,Amgen,Health Care,36751000000.0,12037000000.0,,61780.4,1.6810535767734212,178.4824,70.0,82.45614035087719,,57.446808510638306,3,69.34807764091079
AMP,Ameriprise Financial,Financials,18911000000.0,,,,,339.0806,,21.42857142857143,,,1,21.42857142857143
AMT,American Tower,Real Estate,10644600000.0,,,,,373.0301,,16.666666666666664,,,1,16.666666666666664
AMZN,Amazon,Consumer Discretionary,716924000000.0,356414000000.0,,,,120.2561,,93.18181818181819,,62.5,2,71.7017228401773
ANET,Arista Networks,Information Technology,9005700000.0,3237000000.0,,,,178.4824,,49.27536231884058,,63.07692307692307,2,54.2044911610129
AON,Aon plc,Financials,17181000000.0,,,,,,,,,,0,
AOS,A. O. Smith,Industrials,3830200000.0,2342800000.0,,,,524.8046,,2.564102564102566,,55.55555555555556,2,41.09502088776701
APA,APA Corporation,Energy,,,,304822.8,,348.5027,,4.761904761904767,,,1,4.761904761904767
APD,Air Products,Materials,12037300000.0,8256000000.0,,,,292.9175,,60.0,,63.63636363636363,2,62.42424242424242
APH,Amphenol,Information Technology,23094700000.0,14577000000.0,,,,244.1532,,33.333333333333336,,21.53846153846154,2,29.12087912087912
APO,Apollo Global Management,Financials,32049000000.0,,,,,210.982,,60.0,,,1,60.0
APP,AppLovin,Communication Services,5480717000.0,665140000.0,,,,178.4824,,52.38095238095239,,75.0,2,60.45918367346939
APTV,Aptiv,Consumer Discretionary,20398000000.0,16500000000.0,,,,,,,,6.25,1,6.25
ARE,Alexandria Real Estate Equities,Real Estate,3026556000.0,,,,,178.4824,,73.33333333333334,,,1,73.33333333333334
ARES,Ares Management,Financials,5601482000.0,,,1454174.1,259.60524375513484,178.4824,0.0,91.42857142857143,,,2,45.714285714285715
ATO,Atmos Energy,Utilities,4702755000.0,1452173000.0,,737121.0,156.742377606318,348.5027,79.3103448275862,32.25806451612904,,40.0,3,59.69271412680756
AVGO,Broadcom,Information Technology,63887000000.0,20593000000.0,,34457.1,0.5393444675755631,178.4824,90.0,49.27536231884058,,66.15384615384615,3,65.7123745819398
AVY,Avery Dennison,Materials,8855500000.0,6309200000.0,,,,482.5511,,19.999999999999996,,50.0,2,40.0
AWK,American Water Works,Utilities,5121000000.0,,,,,212.4217,,80.64516129032258,,,1,80.64516129032258
AXON,Axon Enterprise,Industrials,2779536000.0,1121411000.0,,,,311.4764,,51.28205128205128,,87.03703703703704,2,77.28006337678185
AXP,American Express,Financials,41304000000.0,,,,,210.982,,60.0,,,1,60.0
AZO,AutoZone,Consumer Discretionary,18938717000.0,8972243000.0,,,,298.1312,,43.18181818181818,,68.75,2,61.08189763318559
BA,Boeing,Industrials,89463000000.0,85174000000.0,,151144.8,1.6894671540189798,243.5116,73.33333333333334,71.7948717948718,,0.0,3,48.69642893395863
BAC,Bank of America,Financials,113097000000.0,,,,,283.0228,,38.57142857142857,,,1,38.57142857142857
BALL,Ball Corporation,Materials,13161000000.0,,,,,492.1572,,9.999999999999998,,,1,9.999999999999998
