ticker,company,sector,sbti_matched,match_quality,near_term_status,near_term_target_classification,near_term_target_year,net_zero_status,net_zero_year,momentum_tier,regulatory_momentum_score
MMM,3M,Industrials,True,exact,Targets set,1.5°C,2030,,,targets_set_1.5c,75
AOS,A. O. Smith,Industrials,False,,,,,,,no_target,0
ABT,Abbott Laboratories,Health Care,False,,,,,,,no_target,0
ABBV,AbbVie,Health Care,True,exact,Targets set,1.5°C,2030,,,targets_set_1.5c,75
ACN,Accenture,Information Technology,True,exact,Targets set,1.5°C,FY2030,Targets set,FY2040,net_zero_validated,100
ADBE,Adobe Inc.,Information Technology,True,exact,Targets set,1.5°C,FY2030,Targets set,FY2050,net_zero_validated,100
AMD,Advanced Micro Devices,Information Technology,True,exact,Targets set,Well-below 2°C,2020,,,targets_set_2c,50
AES,AES Corporation,Utilities,False,,,,,,,no_target,0
AFL,Aflac,Financials,False,,,,,,,no_target,0
A,Agilent Technologies,Health Care,True,exact,Targets set,1.5°C,FY2030,Targets set,FY2050,net_zero_validated,100
APD,Air Products,Materials,False,,,,,,,no_target,0
ABNB,Airbnb,Consumer Discretionary,True,exact,Targets set,1.5°C,2030,,,targets_set_1.5c,75
AKAM,Akamai Technologies,Information Technology,True,exact,Commitment removed,,,Commitment removed,,no_target,0
ALB,Albemarle Corporation,Materials,False,,,,,,,no_target,0
ARE,Alexandria Real Estate Equities,Real Estate,False,,,,,,,no_target,0
ALGN,Align Technology,Health Care,False,,,,,,,no_target,0
ALLE,Allegion,Industrials,False,,,,,,,no_target,0
LNT,Alliant Energy,Utilities,False,,,,,,,no_target,0
ALL,Allstate,Financials,False,,,,,,,no_target,0
GOOGL,Alphabet Inc. (Class A),Communication Services,True,exact,Targets set,1.5°C,2030,,,targets_set_1.5c,75
MO,Altria,Consumer Staples,True,exact,Targets set,1.5°C,2030,Targets set,2050,net_zero_validated,100
AMZN,Amazon,Consumer Discretionary,True,exact,Commitment removed,,,,,no_target,0
AMCR,Amcor,Materials,True,exact,Targets set,1.5°C,FY2033,Targets set,FY2050,net_zero_validated,100
AEE,Ameren,Utilities,False,,,,,,,no_target,0
AEP,American Electric Power,Utilities,False,,,,,,,no_target,0
AXP,American Express,Financials,True,exact,Targets set,1.5°C,2033,Targets set,2050,net_zero_validated,100
AIG,American International Group,Financials,False,,,,,,,no_target,0
AMT,American Tower,Real Estate,True,exact,Targets set,Well-below 2°C,2035,,,targets_set_2c,50
AWK,American Water Works,Utilities,False,,,,,,,no_target,0
AMP,Ameriprise Financial,Financials,False,,,,,,,no_target,0
AME,Ametek,Industrials,False,,,,,,,no_target,0
