ticker,company,sector,sub_industry,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,,,,,1.0,1.0,3.0,10.0,11.0,1.0,575000000.0,265000000.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,1.0,0.0,3.0,,,0.0,77550000000.0,15025000000.0
ABBV,AbbVie,Health Care,Biotechnology,,,,,1.0,1.0,3.0,,,1.0,1972000000.0,10539000000.0
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,1.0,0.0,,,,1.0,2252000000.0,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,,,,,1.0,1.0,,11.0,12.0,1.0,1227000000.0,3556000000.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,,,,,1.0,1.0,3.0,,,0.0,0.0,
ACN,Accenture,Information Technology,IT Consulting & Other Services,,,,,1.0,0.0,3.0,,,1.0,4330403000.0,
ADBE,Adobe Inc.,Information Technology,Application Software,,,,,1.0,1.0,3.0,10.0,11.0,1.0,4400000000.0,
ADI,Analog Devices,Information Technology,Semiconductors,,,,,1.0,1.0,3.0,,,1.0,2963955000.0,1679106000.0
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,,,,,1.0,1.0,3.0,12.0,13.0,1.0,2673000000.0,977000000.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,,,,,1.0,1.0,3.0,10.0,12.0,0.0,1121400000.0,1903600000.0
ADSK,Autodesk,Information Technology,Application Software,,,,1.0,1.0,1.0,3.0,,,1.0,795000000.0,0.0
AEE,Ameren,Utilities,Multi-Utilities,,,,,1.0,1.0,3.0,,,1.0,,662000000.0
AEP,American Electric Power,Utilities,Electric Utilities,,,,,1.0,0.0,3.0,,,1.0,,1752000000.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,,,,,1.0,1.0,3.0,,,1.0,,444000000.0
AFL,Aflac,Financials,Life & Health Insurance,,,,,1.0,1.0,3.0,,,1.0,2801000000.0,966000000.0
AIG,American International Group,Financials,Multi-line Insurance,,,,,1.0,1.0,3.0,,,1.0,2961000000.0,997000000.0
AIZ,Assurant,Financials,Multi-line Insurance,,1.0,,,1.0,1.0,3.0,,,1.0,193100000.0,152300000.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,,,,,1.0,1.0,3.0,,,1.0,,474000000.0
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,,,,1.0,1.0,0.0,1.0,,,0.0,654046000.0,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,,,,,1.0,1.0,3.0,,,1.0,,187188000.0
ALGN,Align Technology,Health Care,Health Care Supplies,,1.0,limited,,1.0,0.0,3.0,,,0.0,592360000.0,
ALL,Allstate,Financials,Property & Casualty Insurance,,,,,1.0,1.0,3.0,,,1.0,335000000.0,925000000.0
ALLE,Allegion,Industrials,Building Products,,,,,1.0,1.0,1.0,7.0,8.0,0.0,59900000.0,158700000.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,,,,,1.0,1.0,3.0,,,1.0,2189000000.0,975000000.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,,,,,1.0,1.0,3.0,,,0.0,432000000.0,723000000.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,,,,1.0,1.0,1.0,3.0,,,1.0,985000000.0,
AME,Ametek,Industrials,Electrical Components & Equipment,,,,,1.0,1.0,3.0,7.0,8.0,1.0,7772000.0,230329000.0
AMGN,Amgen,Health Care,Biotechnology,,,,,1.0,0.0,3.0,11.0,12.0,1.0,0.0,4556000000.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,,,,,1.0,1.0,3.0,7.0,8.0,0.0,2127000000.0,550000000.0
AMT,American Tower,Real Estate,Telecom Tower REITs,,,,,1.0,1.0,1.0,10.0,11.0,0.0,0.0,3006700000.0
