ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,scope1_tco2e,ghg_facility_count,cogs_usd,energy_cost_usd,revenue_usd,ebit_usd,ebitda_usd,free_cash_flow_usd,capex_usd,rnd_expense_usd,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,2025,2025,2025,2023,2023
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,,,,,,,,,2025,2025,2025,,,2025,2023,2023
ABBV,AbbVie,Health Care,Biotechnology,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,2023
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0,0,0,0,0,2026,2023,,,2023,,2023,2023,,,,2023,2026,2026,2026,2026,2026,2026,,,,,2025,2025,,,,2025,2023,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,,2023,2023,2023,2026,,,,,,,,,,2025,2025,,2025,2025,2025,2023,2023
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0,0,0,0,0,2026,2023,,,,,2023,2023,,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,
ACN,Accenture,Information Technology,IT Consulting & Other Services,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,,,,,,,,,2025,2025,2025,,,2025,2023,
ADBE,Adobe Inc.,Information Technology,Application Software,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,2025,2025,2025,2023,
ADI,Analog Devices,Information Technology,Semiconductors,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,,2023,2023,2023,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,2023
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,2026,2026,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,,,2023,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
ADSK,Autodesk,Information Technology,Application Software,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,,,,2025,2025,2025,2025,,,2025,2023,2023
AEE,Ameren,Utilities,Multi-Utilities,0,0,0,0,0,2026,2023,2023,2023,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
AEP,American Electric Power,Utilities,Electric Utilities,0,0,0,0,0,2026,2023,2023,2023,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,,,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
AFL,Aflac,Financials,Life & Health Insurance,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,,,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
AIG,American International Group,Financials,Multi-line Insurance,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
AIZ,Assurant,Financials,Multi-line Insurance,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,2025,,,2025,2025,2025,,,2025,2023,2023
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,,,,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,,,,,,,,2025,2025,2025,2025,,,2025,2023,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
ALGN,Align Technology,Health Care,Health Care Supplies,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,2025,2025,,2025,2025,2025,,,2025,2023,
ALL,Allstate,Financials,Property & Casualty Insurance,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
ALLE,Allegion,Industrials,Building Products,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,2023
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,,,,,,,,,2025,2025,2025,,,2025,2023,2023
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0,0,0,0,0,2026,2023,,,2023,,2023,2023,,2023,2023,2023,2026,2026,2026,2026,2026,2026,,,,2025,2025,2025,2025,,,2025,2023,
AME,Ametek,Industrials,Electrical Components & Equipment,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
AMGN,Amgen,Health Care,Biotechnology,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,2025,2025,2025,2023,2023
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
AMT,American Tower,Real Estate,Telecom Tower REITs,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,2025,2025,2025,2023,2023
AMZN,Amazon,Consumer Discretionary,Broadline Retail,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,,,,,,,,,2025,2025,,,,2025,2023,
ANET,Arista Networks,Information Technology,Communications Equipment,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,2025,2025,,,2025,2025,,,,2025,2023,
AON,Aon plc,Financials,Insurance Brokers,0,0,0,0,0,2026,2023,,,,,2023,2023,,2023,2023,,2026,2026,2026,,,,,,,,2025,2025,2025,2025,2025,2025,,2023
AOS,A. O. Smith,Industrials,Building Products,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0,0,0,0,0,2026,2023,2023,2023,,,,2023,2023,,,,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
APD,Air Products,Materials,Industrial Gases,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
APH,Amphenol,Information Technology,Electronic Components,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,2025,,,,2025,2025,,,,2025,2023,2023
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,,,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
APP,AppLovin,Communication Services,Advertising,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,,2025,2025,2025,2023,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,,,,,,,,2025,2025,2025,2025,2025,2025,2023,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0,0,0,0,0,2026,2023,,,,,2023,,,,,,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
ARES,Ares Management,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2023,2023,2023,,,2023,2023,,,,,2026,,,,,,,,,,2025,2025,,,,2025,,
ATO,Atmos Energy,Utilities,Gas Utilities,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,,2023
AVGO,Broadcom,Information Technology,Semiconductors,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,,2023,2023,2023,2026,2026,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,2025,2025,2025,2023,2023
AWK,American Water Works,Utilities,Water Utilities,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
AXON,Axon Enterprise,Industrials,Aerospace & Defense,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,,,,2025,,
AXP,American Express,Financials,Consumer Finance,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,2023
AZO,AutoZone,Consumer Discretionary,Automotive Retail,0,0,0,0,0,,2023,,,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,
BA,Boeing,Industrials,Aerospace & Defense,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,,,2025,,
BAC,Bank of America,Financials,Diversified Banks,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,,,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,2023,2026,2026,2026,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
BAX,Baxter International,Health Care,Health Care Equipment,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
BDX,Becton Dickinson,Health Care,Health Care Equipment,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,2025,2025,2025,2025,2025,2025,2025,,,2025,2023,2023
BIIB,Biogen,Health Care,Biotechnology,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,,2026,2026,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,2025,2025,2025,2023,2023
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0,0,0,0,0,2026,2026,,,,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
BLDR,Builders FirstSource,Industrials,Building Products,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,
BLK,BlackRock,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2023,2023,2023,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,,2025,2025,,2025,2025,2025,,,2025,2023,2023
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2023,,,,,2023,,,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,2023
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0,0,0,0,0,2026,2026,2023,2023,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,,,,2025,2023,
BRO,Brown & Brown,Financials,Insurance Brokers,0,0,0,0,0,2026,2023,,,,,2023,2023,,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
BSX,Boston Scientific,Health Care,Health Care Equipment,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,,2023
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2023,,,,,2023,2023,,2023,2023,,2026,,,,,,,,,,,,,,,,,2023
BXP,"BXP, Inc.",Real Estate,Office REITs,0,0,0,0,0,2026,2023,,,,,2023,,,,,,2026,2026,2026,2026,2026,2026,,,,2025,2025,2025,2025,,,2025,,2023
C,Citigroup,Financials,Diversified Banks,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,2025,,,,2025,2025,2025,,,2025,2023,2023
CAH,Cardinal Health,Health Care,Health Care Distributors,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,2023
CARR,Carrier Global,Industrials,Building Products,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,2023
CASY,Casey's,Consumer Staples,Food Retail,0,0,0,0,0,2026,2023,,,,,2023,,,2023,2023,,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,2025,2025,,2025,2025,2025,,,2025,2023,2023
CB,Chubb Limited,Financials,Property & Casualty Insurance,0,0,0,0,0,2026,2023,,,,,2023,2023,,,,,2026,,,,,,2025,2025,2025,,2025,2025,2025,,,2025,2023,2023
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
CBRE,CBRE Group,Real Estate,Real Estate Services,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,
CCI,Crown Castle,Real Estate,Telecom Tower REITs,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,2025,2025,,2025,2025,2025,,,2025,2023,2023
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,,
CDNS,Cadence Design Systems,Information Technology,Application Software,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,
CDW,CDW Corporation,Information Technology,Technology Distributors,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,2025,2025,2025,2023,2023
CEG,Constellation Energy,Utilities,Electric Utilities,0,0,0,0,0,2026,2023,2023,2023,,,2023,2023,2023,2023,2023,,2026,,,,,,2025,,,2025,2025,2025,2025,,,2025,2023,2023
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,2025,2025,2025,2025,,,2025,2023,2023
CFG,Citizens Financial Group,Financials,Regional Banks,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,,,,2026,,,,,,,,,2025,2025,2025,2025,,,2025,2023,2023
CHD,Church & Dwight,Consumer Staples,Household Products,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,2025,,,,2025,2025,2025,2025,2025,2025,2023,2023
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,,2025,2025,2025,2023,2023
CHTR,Charter Communications,Communication Services,Cable & Satellite,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,,2025,2025,2025,2023,
CI,Cigna,Health Care,Health Care Services,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,,,,2026,2026,,,,,,2025,2025,,2025,2025,2025,,,2025,2023,2023
CIEN,Ciena,Information Technology,Communications Equipment,0,0,0,0,0,2026,2023,,,2023,,2023,2023,,2023,2023,2023,2026,2026,2026,2026,2026,2026,,2025,2025,,2025,2025,2025,2025,2025,2025,2023,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0,0,0,0,0,2026,2023,,,,,2023,2023,,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
CL,Colgate-Palmolive,Consumer Staples,Household Products,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,
CLX,Clorox,Consumer Staples,Household Products,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,,2025,2025,,2025,2025,2025,,,2025,2023,2023
CMCSA,Comcast,Communication Services,Cable & Satellite,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,2025,2025,2025,2023,2023
CME,CME Group,Financials,Financial Exchanges & Data,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,2025,2025,2025,2025,,,2025,2023,
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,2025,2025,2025,2023,2023
CMS,CMS Energy,Utilities,Multi-Utilities,0,0,0,0,0,2026,2023,2023,2023,,2023,2023,2023,2023,,,,2026,,,,,,,,,,2025,2025,2025,,,2025,,
CNC,Centene Corporation,Health Care,Managed Health Care,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,,2023
COF,Capital One,Financials,Consumer Finance,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
COHR,Coherent Corp.,Information Technology,Electronic Components,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,,,2025,,
COIN,Coinbase,Financials,Financial Exchanges & Data,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,,,2023,2026,,,,,,,,,,2025,2025,,2025,2025,2025,2023,
COO,Cooper Companies (The),Health Care,Health Care Supplies,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,0,0,0,0,0,2026,2023,2023,2023,2023,,2023,2023,2023,,,2023,2026,,,,,,,,,,2025,2025,2025,2025,2025,2025,2023,2023
COR,Cencora,Health Care,Health Care Distributors,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,2023
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,,,,2025,2023,2023
CPAY,Corpay,Financials,Transaction & Payment Processing Services,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,
CPRT,Copart,Industrials,Diversified Support Services,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,,,,,,,,,,2025,2025,,,,2025,,
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,0,0,0,0,0,2026,2023,,,2023,,2023,,,,,,2026,,,,,,,,,,2025,2025,2025,,,2025,2023,2023
CRH,CRH plc,Materials,Construction Materials,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,,2026,2026,2026,,,,,,,,2025,2025,2025,,,2025,2023,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,0,0,0,0,0,2026,2023,,,,,2023,2023,2023,2023,2023,,2026,2026,2026,2026,2026,2026,,,,,2025,2025,2025,,,2025,2023,
CRM,Salesforce,Information Technology,Application Software,0,0,0,0,0,2026,2023,,,2023,,2023,2023,2023,2023,2023,2023,2026,,,,,,,2025,2025,,2025,2025,2025,,,2025,2023,2023
