ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,esg_risk_score_external,esg_controversy_level_external,cogs_usd,energy_cost_usd,revenue_usd,ebit_usd,ebitda_usd,free_cash_flow_usd,capex_usd,rnd_expense_usd,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,buybacks_usd,dividends_paid_usd
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0001090872,Agilent Technologies,Health Care,Life Sciences Tools & Services,California,41429237760.0,283054377.0,13.6,Low,3305000000.0,,6948000000.0,1479000000.0,1767000000.0,1152000000.0,407000000.0,455000000.0,1.0,net-zero,,,,,425000000.0,282000000.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",California,4849207869440.0,14773260000.0,17.2,Low,220960000000.0,,416161000000.0,133050000000.0,144748000000.0,98767000000.0,12715000000.0,34550000000.0,0.0,near-term,,,,,90711000000.0,15421000000.0
ABBV,AbbVie,Health Care,Biotechnology,0001551152,AbbVie,Health Care,Biotechnology,Illinois,454361186304.0,1773000000.0,29.9,Medium,18204000000.0,,61160000000.0,15075000000.0,15075000000.0,17816000000.0,1214000000.0,,0.0,near-term,2030.0,,,,980000000.0,11657000000.0
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",California,101907333120.0,623000000.0,,,2086000000.0,,12241000000.0,2544000000.0,2586600000.0,,,2354000000.0,0.0,near-term,2030.0,,,,3789000000.0,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,Illinois,176412573696.0,1748000000.0,24.8,Medium,19319000000.0,,44328000000.0,8053000000.0,,7395000000.0,2171000000.0,2942000000.0,0.0,,,,,,893000000.0,4116000000.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0000947484,Arch Capital Group,Financials,Property & Casualty Insurance,Bermuda,32788705280.0,359000000.0,22.5,Medium,,,19929000000.0,5159000000.0,,6128000000.0,44000000.0,,0.0,,,,,,1889000000.0,
ACN,Accenture,Information Technology,IT Consulting & Other Services,0001467373,Accenture,Information Technology,IT Consulting & Other Services,Ireland,112536141824.0,632435108.0,9.8,Negligible,47437576000.0,,69672977000.0,10225664000.0,11668889000.0,10874360000.0,600039000.0,817300000.0,0.0,near-term,,,,,4619497000.0,
ADBE,Adobe Inc.,Information Technology,Application Software,0000796343,Adobe Inc.,Information Technology,Application Software,California,100261421056.0,413000000.0,13.1,Low,2551000000.0,,23769000000.0,8706000000.0,9524000000.0,9852000000.0,179000000.0,,1.0,net-zero,,,,,11281000000.0,
ADI,Analog Devices,Information Technology,Semiconductors,0000006281,Analog Devices,Information Technology,Semiconductors,Massachusetts,183543709696.0,489654097.0,22.9,Medium,4246229000.0,,11019707000.0,2932496000.0,2932496000.0,4278650000.0,533552000.0,1766001000.0,0.0,near-term,2030.0,,,,2164638000.0,1924413000.0
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0000007084,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,Illinois,41795534848.0,484000000.0,31.8,High,75236000000.0,,80269000000.0,1255000000.0,2436000000.0,4204000000.0,1248000000.0,246000000.0,0.0,commitment,,,,,0.0,987000000.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0000008670,Automatic Data Processing,Industrials,Human Resource & Employment Services,New Jersey,106569711616.0,397800000.0,13.8,Low,11097300000.0,,20560900000.0,5310100000.0,5892500000.0,,,988600000.0,0.0,,,,,,1280500000.0,2398900000.0
ADSK,Autodesk,Information Technology,Application Software,0000769397,Autodesk,Information Technology,Application Software,California,44391600128.0,212000000.0,16.8,Low,650000000.0,,7206000000.0,1578000000.0,1773000000.0,2409000000.0,43000000.0,1643000000.0,0.0,near-term,,,,,1402000000.0,
AEE,Ameren,Utilities,Multi-Utilities,0001002910,Ameren,Utilities,Multi-Utilities,Missouri,29040859136.0,276400000.0,27.2,Medium,,,8799000000.0,2026000000.0,3638000000.0,-775000000.0,4128000000.0,,0.0,,,,,,,768000000.0
AEP,American Electric Power,Utilities,Electric Utilities,0000004904,American Electric Power,Utilities,Electric Utilities,Ohio,67140530176.0,537467865.0,26.1,Medium,,,21876000000.0,5319000000.0,8644000000.0,3491000000.0,3453000000.0,,0.0,,,,,,,2008000000.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0000874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Virginia,10551757824.0,712201777.0,26.7,Medium,10022000000.0,,12233000000.0,,,-1623000000.0,5929000000.0,,0.0,,,,,,,501000000.0
AFL,Aflac,Financials,Life & Health Insurance,0000004977,Aflac,Financials,Life & Health Insurance,Georgia,57794854912.0,518690000.0,18.3,Low,,,17164000000.0,4533000000.0,4569000000.0,,,,0.0,,,,,,3530000000.0,1198000000.0
AIG,American International Group,Financials,Multi-line Insurance,0000005272,American International Group,Financials,Multi-line Insurance,New York,39389544448.0,538200000.0,24.2,Medium,,,26775000000.0,3879000000.0,7334000000.0,,,,0.0,,,,,,5836000000.0,976000000.0
AIZ,Assurant,Financials,Multi-line Insurance,0001267238,Assurant,Financials,Multi-line Insurance,Georgia,13931991040.0,49792919.0,24.1,Medium,,,12814300000.0,1087400000.0,1337400000.0,1598400000.0,235500000.0,,0.0,,,,,,303700000.0,168400000.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0000354190,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Illinois,61603868672.0,257000000.0,21.2,Medium,,,13942000000.0,1871000000.0,2993000000.0,,,,0.0,,,,,,,667000000.0
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0001086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Massachusetts,15347496960.0,144711094.0,17.0,Low,1727513000.0,,4208175000.0,566944000.0,1275555000.0,1010979000.0,507786000.0,513560000.0,0.0,commitment,,,,,799963000.0,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0000915913,Albemarle Corporation,Materials,Specialty Chemicals,North Carolina,13867954176.0,117716000.0,26.6,Medium,4474014000.0,,5142733000.0,-367084000.0,291594000.0,692466000.0,589801000.0,51398000.0,0.0,,,,,,,190530000.0
ALGN,Align Technology,Health Care,Health Care Supplies,0001097149,Align Technology,Health Care,Health Care Supplies,Arizona,10714231808.0,71364000.0,,,1323951000.0,,4034964000.0,545755000.0,783191000.0,490778000.0,102445000.0,369911000.0,0.0,,,,,,465939000.0,
ALL,Allstate,Financials,Property & Casualty Insurance,0000899051,Allstate,Financials,Property & Casualty Insurance,Illinois,64152592384.0,260000000.0,22.0,Medium,,,67685000000.0,13156000000.0,13638000000.0,9882000000.0,228000000.0,,0.0,,,,,,1233000000.0,1036000000.0
ALLE,Allegion,Industrials,Building Products,0001579241,Allegion,Industrials,Building Products,Ireland,13040391168.0,86066997.0,21.8,Medium,2229000000.0,,4067300000.0,859500000.0,989200000.0,685700000.0,98100000.0,132000000.0,0.0,,,,,,80000000.0,175300000.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0000006951,Applied Materials,Information Technology,Semiconductor Materials & Equipment,California,362269278208.0,793000000.0,12.7,Low,14560000000.0,,28368000000.0,8289000000.0,8724000000.0,5698000000.0,2260000000.0,3570000000.0,0.0,near-term,,,,,4895000000.0,1384000000.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0001748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials,United Kingdom,19566469120.0,463800000.0,,,12175000000.0,,15009000000.0,1009000000.0,1731000000.0,810000000.0,580000000.0,120000000.0,0.0,near-term,,,,,0.0,845000000.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0000002488,Advanced Micro Devices,Information Technology,Semiconductors,California,842569351168.0,1630000000.0,,,17487000000.0,,34639000000.0,3694000000.0,3916000000.0,6735000000.0,974000000.0,8091000000.0,0.0,near-term,2020.0,,,,1316000000.0,
