ticker,company,sector,sub_industry,revenue_usd,ebit_usd,ebitda_usd,free_cash_flow_usd,capex_usd,rnd_expense_usd,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,6948000000.0,1479000000.0,1767000000.0,1152000000.0,407000000.0,455000000.0,1.0,net-zero,2030.0,2019.0,50.0,1 and 2
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",416161000000.0,133050000000.0,144748000000.0,98767000000.0,12715000000.0,34550000000.0,0.0,near-term,,,,
ABBV,AbbVie,Health Care,Biotechnology,61160000000.0,15075000000.0,15075000000.0,17816000000.0,1214000000.0,,0.0,near-term,2030.0,2021.0,42.0,1 and 2
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",12241000000.0,2544000000.0,2586600000.0,,,2354000000.0,0.0,near-term,2030.0,2019.0,78.4,1 and 2
ABT,Abbott Laboratories,Health Care,Health Care Equipment,44328000000.0,8053000000.0,,7395000000.0,2171000000.0,2942000000.0,0.0,,,,,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,19929000000.0,5159000000.0,,6128000000.0,44000000.0,,0.0,,,,,
ACN,Accenture,Information Technology,IT Consulting & Other Services,69672977000.0,10225664000.0,11668889000.0,10874360000.0,600039000.0,817300000.0,0.0,near-term,,,,
ADBE,Adobe Inc.,Information Technology,Application Software,23769000000.0,8706000000.0,9524000000.0,9852000000.0,179000000.0,,1.0,net-zero,2030.0,2022.0,42.0,1 and 2
ADI,Analog Devices,Information Technology,Semiconductors,11019707000.0,2932496000.0,2932496000.0,4278650000.0,533552000.0,1766001000.0,0.0,near-term,2030.0,2019.0,50.0,1 and 2
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,80269000000.0,1255000000.0,2436000000.0,4204000000.0,1248000000.0,246000000.0,0.0,commitment,,,,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,20560900000.0,5310100000.0,5892500000.0,,,988600000.0,0.0,,,,,
ADSK,Autodesk,Information Technology,Application Software,7206000000.0,1578000000.0,1773000000.0,2409000000.0,43000000.0,1643000000.0,0.0,near-term,2031.0,2020.0,50.0,1 and 2
AEE,Ameren,Utilities,Multi-Utilities,8799000000.0,2026000000.0,3638000000.0,-775000000.0,4128000000.0,,0.0,,,,,
AEP,American Electric Power,Utilities,Electric Utilities,21876000000.0,5319000000.0,8644000000.0,3491000000.0,3453000000.0,,0.0,,,,,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,12233000000.0,,,-1623000000.0,5929000000.0,,0.0,,,,,
AFL,Aflac,Financials,Life & Health Insurance,17164000000.0,4533000000.0,4569000000.0,,,,0.0,,,,,
AIG,American International Group,Financials,Multi-line Insurance,26775000000.0,3879000000.0,7334000000.0,,,,0.0,,,,,
AIZ,Assurant,Financials,Multi-line Insurance,12814300000.0,1087400000.0,1337400000.0,1598400000.0,235500000.0,,0.0,,,,,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,13942000000.0,1871000000.0,2993000000.0,,,,0.0,,,,,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,4208175000.0,566944000.0,1275555000.0,1010979000.0,507786000.0,513560000.0,0.0,commitment,,,,
