ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,esg_risk_score_external,esg_controversy_level_external
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0001090872,Agilent Technologies,Health Care,Life Sciences Tools & Services,California,41429237760.0,283054377.0,13.6,Low
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",California,4849207869440.0,14773260000.0,17.2,Low
ABBV,AbbVie,Health Care,Biotechnology,0001551152,AbbVie,Health Care,Biotechnology,Illinois,454361186304.0,1773000000.0,29.9,Medium
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",California,101907333120.0,623000000.0,,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,Illinois,176412573696.0,1748000000.0,24.8,Medium
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0000947484,Arch Capital Group,Financials,Property & Casualty Insurance,Bermuda,32788705280.0,359000000.0,22.5,Medium
ACN,Accenture,Information Technology,IT Consulting & Other Services,0001467373,Accenture,Information Technology,IT Consulting & Other Services,Ireland,112536141824.0,632435108.0,9.8,Negligible
ADBE,Adobe Inc.,Information Technology,Application Software,0000796343,Adobe Inc.,Information Technology,Application Software,California,100261421056.0,413000000.0,13.1,Low
ADI,Analog Devices,Information Technology,Semiconductors,0000006281,Analog Devices,Information Technology,Semiconductors,Massachusetts,183543709696.0,489654097.0,22.9,Medium
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0000007084,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,Illinois,41795534848.0,484000000.0,31.8,High
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0000008670,Automatic Data Processing,Industrials,Human Resource & Employment Services,New Jersey,106569711616.0,397800000.0,13.8,Low
ADSK,Autodesk,Information Technology,Application Software,0000769397,Autodesk,Information Technology,Application Software,California,44391600128.0,212000000.0,16.8,Low
AEE,Ameren,Utilities,Multi-Utilities,0001002910,Ameren,Utilities,Multi-Utilities,Missouri,29040859136.0,276400000.0,27.2,Medium
AEP,American Electric Power,Utilities,Electric Utilities,0000004904,American Electric Power,Utilities,Electric Utilities,Ohio,67140530176.0,537467865.0,26.1,Medium
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0000874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Virginia,10551757824.0,712201777.0,26.7,Medium
AFL,Aflac,Financials,Life & Health Insurance,0000004977,Aflac,Financials,Life & Health Insurance,Georgia,57794854912.0,518690000.0,18.3,Low
AIG,American International Group,Financials,Multi-line Insurance,0000005272,American International Group,Financials,Multi-line Insurance,New York,39389544448.0,538200000.0,24.2,Medium
AIZ,Assurant,Financials,Multi-line Insurance,0001267238,Assurant,Financials,Multi-line Insurance,Georgia,13931991040.0,49792919.0,24.1,Medium
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0000354190,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Illinois,61603868672.0,257000000.0,21.2,Medium
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0001086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Massachusetts,15347496960.0,144711094.0,17.0,Low
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0000915913,Albemarle Corporation,Materials,Specialty Chemicals,North Carolina,13867954176.0,117716000.0,26.6,Medium
ALGN,Align Technology,Health Care,Health Care Supplies,0001097149,Align Technology,Health Care,Health Care Supplies,Arizona,10714231808.0,71364000.0,,
ALL,Allstate,Financials,Property & Casualty Insurance,0000899051,Allstate,Financials,Property & Casualty Insurance,Illinois,64152592384.0,260000000.0,22.0,Medium
ALLE,Allegion,Industrials,Building Products,0001579241,Allegion,Industrials,Building Products,Ireland,13040391168.0,86066997.0,21.8,Medium
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0000006951,Applied Materials,Information Technology,Semiconductor Materials & Equipment,California,362269278208.0,793000000.0,12.7,Low
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0001748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials,United Kingdom,19566469120.0,463800000.0,,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0000002488,Advanced Micro Devices,Information Technology,Semiconductors,California,842569351168.0,1630000000.0,,
AME,Ametek,Industrials,Electrical Components & Equipment,0001037868,Ametek,Industrials,Electrical Components & Equipment,Pennsylvania,55451418624.0,229000000.0,23.9,Medium
AMGN,Amgen,Health Care,Biotechnology,0000318154,Amgen,Health Care,Biotechnology,California,204007489536.0,538800000.0,22.0,Medium
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0000820027,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minnesota,49255481344.0,98200000.0,20.3,Medium
AMT,American Tower,Real Estate,Telecom Tower REITs,0001053507,American Tower,Real Estate,Telecom Tower REITs,Massachusetts,82871001088.0,466318000.0,10.9,Low
AMZN,Amazon,Consumer Discretionary,Broadline Retail,0001018724,Amazon,Consumer Discretionary,Broadline Retail,Washington,2769709432832.0,10731000000.0,30.6,High
ANET,Arista Networks,Information Technology,Communications Equipment,0001596532,Arista Networks,Information Technology,Communications Equipment,California,251727839232.0,1256500000.0,16.7,Low
AON,Aon plc,Financials,Insurance Brokers,0000315293,Aon plc,Financials,Insurance Brokers,United Kingdom,64208248832.0,217100000.0,,
