ticker,company,sector,sub_industry,cik,legal_name,lei,ultimate_parent_lei,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,scope1_tco2e,scope1_tco2e_fy,ghg_facility_count,ghg_facility_count_fy,grid_intensity_kgco2e_per_mwh,grid_intensity_kgco2e_per_mwh_fy,cogs_usd,cogs_usd_fy,energy_cost_usd,energy_cost_usd_fy,revenue_usd,revenue_usd_fy,ebit_usd,ebit_usd_fy,ebitda_usd,ebitda_usd_fy,free_cash_flow_usd,free_cash_flow_usd_fy,capex_usd,capex_usd_fy,rnd_expense_usd,rnd_expense_usd_fy,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,risk_hitword_density,risk_hitword_density_fy,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,buybacks_usd_fy,dividends_paid_usd,dividends_paid_usd_fy,penalty_total_usd,penalty_total_usd_fy,penalty_count,penalty_count_fy,flows_all_target_year
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0001090872,Agilent Technologies,QUIX8Y7A2WP0XRMW7G29,,Health Care,Life Sciences Tools & Services,California,41429237760.0,283054377.0,,,,,178.4824,2023,3305000000.0,2025,,,6948000000.0,2025,1479000000.0,2025,1767000000.0,2025,1152000000.0,2025,407000000.0,2025,455000000.0,2025,1.0,net-zero,2030.0,2019.0,50.0,1 and 2,0.16666666666666666,2025,,,,,1.0,1.0,3.0,10.0,11.0,1.0,425000000.0,2025,282000000.0,2025,156320.0,2026,9.0,2026,False
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,Apple Inc.,HWUPKR0MPOU8FGXBT394,,Information Technology,"Technology Hardware, Storage & Peripherals",California,4849207869440.0,14773260000.0,,,,,178.4824,2023,220960000000.0,2025,,,416161000000.0,2025,133050000000.0,2025,144748000000.0,2025,98767000000.0,2025,12715000000.0,2025,34550000000.0,2025,0.0,near-term,,,,,,,,,,,1.0,0.0,3.0,,,0.0,90711000000.0,2025,15421000000.0,2025,0.0,2026,0.0,2026,False
ABBV,AbbVie,Health Care,Biotechnology,0001551152,AbbVie,FR5LCKFTG8054YNNRU85,,Health Care,Biotechnology,Illinois,454361186304.0,1773000000.0,99777.8,2023,2.0,2023,213.9618,2023,18204000000.0,2025,,,61160000000.0,2025,15075000000.0,2025,15075000000.0,2025,17816000000.0,2025,1214000000.0,2025,,,0.0,near-term,2030.0,2021.0,42.0,1 and 2,0.5,2025,,,,,1.0,1.0,3.0,,,1.0,980000000.0,2025,11657000000.0,2025,0.0,2026,2.0,2026,False
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720,Airbnb,549300HMUDNO0RY56D37,,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",California,101907333120.0,623000000.0,,,,,178.4824,2023,2086000000.0,2025,,,12241000000.0,2025,2544000000.0,2025,2586600000.0,2025,3405000000.0,2022,25000000.0,2022,2354000000.0,2025,0.0,near-term,2030.0,2019.0,78.4,1 and 2,,,,,,,1.0,0.0,,,,1.0,3789000000.0,2025,,,0.0,2026,0.0,2026,False
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800,Abbott Laboratories,HQD377W2YR662HK5JX27,,Health Care,Health Care Equipment,Illinois,176412573696.0,1748000000.0,134386.9,2023,4.0,2023,213.9618,2023,19319000000.0,2025,,,44328000000.0,2025,8053000000.0,2025,,,7395000000.0,2025,2171000000.0,2025,2942000000.0,2025,0.0,,,,,,0.16666666666666666,2025,,,,,1.0,1.0,,11.0,12.0,1.0,893000000.0,2025,4116000000.0,2025,0.0,2026,7.0,2026,False
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0000947484,Arch Capital Group,549300AYR4P8AFKDCE43,,Financials,Property & Casualty Insurance,Bermuda,32788705280.0,359000000.0,,,,,,,,,,,19929000000.0,2025,5159000000.0,2025,,,6128000000.0,2025,44000000.0,2025,,,0.0,,,,,,,,,,,,1.0,1.0,3.0,,,0.0,1889000000.0,2025,,,0.0,2026,0.0,2026,False
ACN,Accenture,Information Technology,IT Consulting & Other Services,0001467373,Accenture,,,Information Technology,IT Consulting & Other Services,Ireland,112536141824.0,632435108.0,,,,,,,47437576000.0,2025,,,69672977000.0,2025,10225664000.0,2025,11668889000.0,2025,10874360000.0,2025,600039000.0,2025,817300000.0,2025,0.0,near-term,,,,,0.25,2025,,,,,1.0,0.0,3.0,,,1.0,4619497000.0,2025,2457306000.0,2022,0.0,2026,0.0,2026,False
ADBE,Adobe Inc.,Information Technology,Application Software,0000796343,Adobe Inc.,FU4LY2G4933NH2E1CP29,,Information Technology,Application Software,California,100261421056.0,413000000.0,,,,,178.4824,2023,2551000000.0,2025,,,23769000000.0,2025,8706000000.0,2025,9524000000.0,2025,9852000000.0,2025,179000000.0,2025,,,1.0,net-zero,2030.0,2022.0,42.0,1 and 2,0.3333333333333333,2025,,,,,1.0,1.0,3.0,10.0,11.0,1.0,11281000000.0,2025,,,0.0,2026,0.0,2026,False
ADI,Analog Devices,Information Technology,Semiconductors,0000006281,Analog Devices,GYVOE5EZ4GDAVTU4CQ61,,Information Technology,Semiconductors,Massachusetts,183543709696.0,489654097.0,117771.6,2023,3.0,2023,373.0301,2023,4246229000.0,2025,,,11019707000.0,2025,2932496000.0,2025,2932496000.0,2025,4278650000.0,2025,533552000.0,2025,1766001000.0,2025,0.0,near-term,2030.0,2019.0,50.0,1 and 2,,,,,,,1.0,1.0,3.0,,,1.0,2164638000.0,2025,1924413000.0,2025,0.0,2026,2.0,2026,False
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0000007084,Archer Daniels Midland,549300LO13MQ9HYSTR83,,Consumer Staples,Agricultural Products & Services,Illinois,41795534848.0,484000000.0,10585367.6,2023,18.0,2023,213.9618,2023,75236000000.0,2025,,,80269000000.0,2025,1255000000.0,2025,2436000000.0,2025,4204000000.0,2025,1248000000.0,2025,246000000.0,2025,0.0,commitment,,,,,,,,,,,1.0,1.0,3.0,12.0,13.0,1.0,0.0,2025,987000000.0,2025,637658.0,2026,34.0,2026,False
