ticker,company,sector,sub_industry,cik,legal_name,lei,ultimate_parent_lei,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,scope1_tco2e,ghg_facility_count,grid_intensity_kgco2e_per_mwh,cogs_usd,energy_cost_usd,revenue_usd,ebit_usd,ebitda_usd,free_cash_flow_usd,capex_usd,rnd_expense_usd,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,risk_hitword_density,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd,penalty_total_usd,penalty_count
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,quote_verified,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,not_disclosed,not_disclosed,structural,structural,structural,imputed,imputed
ABBV,AbbVie,Health Care,Biotechnology,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,quote_verified,quote_verified,quote_verified,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,imputed,imputed
ABT,Abbott Laboratories,Health Care,Health Care Equipment,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,not_disclosed,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,not_disclosed,imputed,imputed
ACN,Accenture,Information Technology,IT Consulting & Other Services,structural,structural,not_disclosed,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,structural,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
ADBE,Adobe Inc.,Information Technology,Application Software,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,structural,structural,not_disclosed,structural,structural,structural,structural,structural,not_disclosed,structural,structural,quote_verified,quote_verified,quote_verified,quote_verified,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,not_disclosed,imputed,imputed
ADI,Analog Devices,Information Technology,Semiconductors,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,quote_verified,quote_verified,quote_verified,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,not_disclosed,not_disclosed,quote_verified,structural,structural,imputed,imputed
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,structural,structural,structural,structural,structural,structural,structural,structural,not_disclosed,not_disclosed,not_disclosed,not_disclosed,missing,not_disclosed,not_disclosed,not_disclosed,not_disclosed,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,quote_verified,structural,structural,imputed,imputed
