ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,esg_risk_score_external,esg_controversy_level_external,scope1_tco2e,ghg_facility_count,cogs_usd,energy_cost_usd,revenue_usd,ebit_usd,ebitda_usd,free_cash_flow_usd,capex_usd,rnd_expense_usd,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,buybacks_usd,dividends_paid_usd
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2025,2025
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,,,,,2025,2025
ABBV,AbbVie,Health Care,Biotechnology,0,0,0,0,0,2026,2025,2024,2024,2023,2023,2025,,2025,2025,2025,2025,2025,,2026,2026,2026,2026,2026,2026,2025,2025
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0,0,0,0,0,2026,2025,,,,,2025,,2025,2025,2025,2022,2022,2025,2026,2026,2026,2026,2026,2026,2025,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0,0,0,0,0,2026,2025,2024,2024,2023,2023,2025,,2025,2025,,2025,2025,2025,2026,,,,,,2025,2025
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0,0,0,0,0,2026,2025,2024,2024,,,,,2025,2025,,2025,2025,,2026,,,,,,2025,
ACN,Accenture,Information Technology,IT Consulting & Other Services,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,,,,,2025,2022
ADBE,Adobe Inc.,Information Technology,Application Software,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,,2026,2026,2026,2026,2026,2026,2025,
ADI,Analog Devices,Information Technology,Semiconductors,0,0,0,0,0,2026,2025,2024,2024,2023,2023,2025,,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2025,2025
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0,0,0,0,0,2026,2025,2024,2024,2023,2023,2025,,2025,2025,2025,2025,2025,2025,2026,2026,,,,,2025,2025
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,,,2025,2026,,,,,,2025,2025
ADSK,Autodesk,Information Technology,Application Software,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2025,2024
AEE,Ameren,Utilities,Multi-Utilities,0,0,0,0,0,2026,2025,2024,2024,2023,2023,,,2025,2025,2025,2025,2025,,2026,,,,,,,2025
AEP,American Electric Power,Utilities,Electric Utilities,0,0,0,0,0,2026,2025,2024,2024,2023,2023,,,2025,2025,2025,2025,2025,,2026,,,,,,,2025
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0,0,0,0,0,2026,2025,2024,2024,2023,2023,2025,,2025,2022,2022,2025,2025,,2026,,,,,,,2025
AFL,Aflac,Financials,Life & Health Insurance,0,0,0,0,0,2026,2025,2024,2024,,,,,2025,2025,2025,,,,2026,,,,,,2025,2025
AIG,American International Group,Financials,Multi-line Insurance,0,0,0,0,0,2026,2025,2024,2024,,,,,2025,2025,2025,2023,2023,,2026,,,,,,2025,2025
AIZ,Assurant,Financials,Multi-line Insurance,0,0,0,0,0,2026,2025,2024,2024,,,,,2025,2025,2025,2025,2025,,2026,,,,,,2025,2025
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0,0,0,0,0,2026,2025,2024,2024,,,2022,,2025,2025,2025,,,,2026,,,,,,,2025
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,,,,,2025,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0,0,0,0,0,2026,2025,2024,2024,2023,2023,2025,,2025,2025,2025,2025,2025,2025,2026,,,,,,,2025
ALGN,Align Technology,Health Care,Health Care Supplies,0,0,0,0,0,2026,2025,,,,,2025,,2025,2025,2025,2025,2025,2025,2026,,,,,,2025,
ALL,Allstate,Financials,Property & Casualty Insurance,0,0,0,0,0,2026,2025,2024,2024,,,,,2025,2025,2025,2025,2025,,2026,,,,,,2025,2025
ALLE,Allegion,Industrials,Building Products,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,,,,,,2025,2025
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2025,2025
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0,0,0,0,0,2026,2025,,,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,,,,,2025,2025
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0,0,0,0,0,2026,2025,,,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2025,
AME,Ametek,Industrials,Electrical Components & Equipment,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,,,,,,2025,2025
AMGN,Amgen,Health Care,Biotechnology,0,0,0,0,0,2026,2025,2024,2024,2023,2023,2025,,2025,2025,2025,2025,2025,,2026,2026,2026,2026,2026,2026,2025,2025
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2025,2024,2024,,,,,2025,2025,2025,2025,2025,,2026,,,,,,2025,2025
AMT,American Tower,Real Estate,Telecom Tower REITs,0,0,0,0,0,2026,2025,2024,2024,,,,,2025,2025,2025,2025,2025,,2026,2026,2026,2026,2026,2026,2025,2025
AMZN,Amazon,Consumer Discretionary,Broadline Retail,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,,2026,2026,,,,,2024,
ANET,Arista Networks,Information Technology,Communications Equipment,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2025,
AON,Aon plc,Financials,Insurance Brokers,0,0,0,0,0,2026,2025,,,,,,,2025,2025,2025,2025,2025,,2026,2026,2026,,,,,2025
AOS,A. O. Smith,Industrials,Building Products,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,,,,,,2025,2025
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0,0,0,0,0,2026,2025,2024,2024,2023,2023,,,,2025,2025,,,,2026,,,,,,,2025
APD,Air Products,Materials,Industrial Gases,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,,,,,,,2025
APH,Amphenol,Information Technology,Electronic Components,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,,,,,,2025,2025
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2025,,,,,,,2025,2025,2025,,,,2026,,,,,,2025,2025
APP,AppLovin,Communication Services,Advertising,0,0,0,0,0,2026,2025,,,,,2025,,2025,2025,2025,2024,2024,2025,2026,,,,,,2025,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0,0,0,0,0,2026,2025,2024,2024,,,2025,,2025,2025,2025,2025,2025,2025,2026,2026,2026,,,,2025,2022
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0,0,0,0,0,2026,2025,2024,2024,,,,,2025,,,,,,2026,,,,,,2025,2025
ARES,Ares Management,Financials,Asset Management & Custody Banks,0,0,0,0,0,2026,2024,,,2023,2023,,,2025,2025,,,,,2026,,,,,,,
ATO,Atmos Energy,Utilities,Gas Utilities,0,0,0,0,0,2026,2025,2024,2024,2023,2023,2023,,2025,2025,2025,2025,2025,,2026,,,,,,,2025
