ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,shares_outstanding
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0001090872,Agilent Technologies,Health Care,Life Sciences Tools & Services,California,283054377.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",California,14773260000.0
ABBV,AbbVie,Health Care,Biotechnology,0001551152,AbbVie,Health Care,Biotechnology,Illinois,1773000000.0
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",California,623000000.0
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,Illinois,1748000000.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0000947484,Arch Capital Group,Financials,Property & Casualty Insurance,Bermuda,359000000.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,0001467373,Accenture,Information Technology,IT Consulting & Other Services,Ireland,632435108.0
ADBE,Adobe Inc.,Information Technology,Application Software,0000796343,Adobe Inc.,Information Technology,Application Software,California,413000000.0
ADI,Analog Devices,Information Technology,Semiconductors,0000006281,Analog Devices,Information Technology,Semiconductors,Massachusetts,489654097.0
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0000007084,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,Illinois,484000000.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0000008670,Automatic Data Processing,Industrials,Human Resource & Employment Services,New Jersey,405300000.0
ADSK,Autodesk,Information Technology,Application Software,0000769397,Autodesk,Information Technology,Application Software,California,212000000.0
AEE,Ameren,Utilities,Multi-Utilities,0001002910,Ameren,Utilities,Multi-Utilities,Missouri,276400000.0
AEP,American Electric Power,Utilities,Electric Utilities,0000004904,American Electric Power,Utilities,Electric Utilities,Ohio,537467865.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0000874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Virginia,712201777.0
AFL,Aflac,Financials,Life & Health Insurance,0000004977,Aflac,Financials,Life & Health Insurance,Georgia,518690000.0
AIG,American International Group,Financials,Multi-line Insurance,0000005272,American International Group,Financials,Multi-line Insurance,New York,538200000.0
AIZ,Assurant,Financials,Multi-line Insurance,0001267238,Assurant,Financials,Multi-line Insurance,Georgia,49792919.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0000354190,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Illinois,257000000.0
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0001086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Massachusetts,144711094.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0000915913,Albemarle Corporation,Materials,Specialty Chemicals,North Carolina,117716000.0
ALGN,Align Technology,Health Care,Health Care Supplies,0001097149,Align Technology,Health Care,Health Care Supplies,Arizona,71364000.0
ALL,Allstate,Financials,Property & Casualty Insurance,0000899051,Allstate,Financials,Property & Casualty Insurance,Illinois,260000000.0
ALLE,Allegion,Industrials,Building Products,0001579241,Allegion,Industrials,Building Products,Ireland,86066997.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0000006951,Applied Materials,Information Technology,Semiconductor Materials & Equipment,California,793000000.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0001748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials,United Kingdom,318600000.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0000002488,Advanced Micro Devices,Information Technology,Semiconductors,California,1630000000.0
AME,Ametek,Industrials,Electrical Components & Equipment,0001037868,Ametek,Industrials,Electrical Components & Equipment,Pennsylvania,229000000.0
AMGN,Amgen,Health Care,Biotechnology,0000318154,Amgen,Health Care,Biotechnology,California,538800000.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0000820027,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minnesota,98200000.0
AMT,American Tower,Real Estate,Telecom Tower REITs,0001053507,American Tower,Real Estate,Telecom Tower REITs,Massachusetts,466318000.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,0001018724,Amazon,Consumer Discretionary,Broadline Retail,Washington,10731000000.0
ANET,Arista Networks,Information Technology,Communications Equipment,0001596532,Arista Networks,Information Technology,Communications Equipment,California,1256500000.0
AON,Aon plc,Financials,Insurance Brokers,0000315293,Aon plc,Financials,Insurance Brokers,United Kingdom,217100000.0
AOS,A. O. Smith,Industrials,Building Products,0000091142,A. O. Smith,Industrials,Building Products,Wisconsin,141914840.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0001841666,APA Corporation,Energy,Oil & Gas Exploration & Production,Texas,352964646.0
APD,Air Products,Materials,Industrial Gases,0000002969,Air Products,Materials,Industrial Gases,Pennsylvania,222588256.0
APH,Amphenol,Information Technology,Electronic Components,0000820313,Amphenol,Information Technology,Electronic Components,Connecticut,1226600000.0
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0001858681,Apollo Global Management,Financials,Asset Management & Custody Banks,New York,578981398.0
APP,AppLovin,Communication Services,Advertising,0001751008,AppLovin,Communication Services,Advertising,California,338313000.0
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0001521332,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Switzerland,212746899.0
